Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""sphenoid bone""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001472,=,1.0,http://human.owl#NCI_C12790,"[""Sphenoid_Bone""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""metatarsal bone digit 1""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001369,=,1.0,http://human.owl#NCI_C52791,"[""Metatarsal_Bone_Digit_1""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""submandibular duct""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002698,=,1.0,http://human.owl#NCI_C33649,"[""Submandibular_Duct""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""vestibulocochlear VIII nerve cochlear component""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001110,=,0.0,http://human.owl#NCI_C12697,"[""Cochlear_Nerve""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""caudal auricular vein""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002090,=,0.0,http://human.owl#NCI_C33349,"[""Posterior_Auricular_Vein""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""myelencephalon""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000205,=,1.0,http://human.owl#NCI_C12442,"[""Medulla_Oblongata""]",[],"[""owl:Class""]",true,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""vertebra dorsal arch""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001453,=,0.0,http://human.owl#NCI_C32138,"[""Arch_of_the_Vertebra""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""middle cerebral artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001935,=,1.0,http://human.owl#NCI_C12830,"[""Middle_Cerebral_Artery""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""submandibular gland""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001589,=,1.0,http://human.owl#NCI_C12233,"[""Submandibular_Gland""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""musculoskeletal system""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002418,=,1.0,http://human.owl#NCI_C12754,"[""Musculoskeletal_System""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""mammary gland epithelium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000792,=,0.0,http://human.owl#NCI_C12937,"[""Mammary_Epithelium""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""symphysis""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001504,=,1.0,http://human.owl#NCI_C32061,"[""Amphiarthrosis""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""visceral organ system""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000019,=,0.0,http://human.owl#NCI_C28287,"[""Viscera""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""gall bladder lamina propria""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001633,=,0.0,http://human.owl#NCI_C49228,"[""Gallbladder_Lamina_Propria""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""nasal cavity epithelium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001324,=,1.0,http://human.owl#NCI_C49261,"[""Nasal_Cavity_Epithelium""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""communicating artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001938,=,1.0,http://human.owl#NCI_C52851,"[""Communicating_Artery""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""lacrimal artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001988,=,1.0,http://human.owl#NCI_C52948,"[""Lacrimal_Artery""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""tibilais cranialis""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002395,=,0.0,http://human.owl#NCI_C53079,"[""Tibialis_Cranialis""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""smooth muscle""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000166,=,1.0,http://human.owl#NCI_C12437,"[""Smooth_Muscle_Tissue""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""palatine gland""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001584,=,0.0,http://human.owl#NCI_C33249,"[""Palatine_Salivary_Gland""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""foot skin""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000654,=,1.0,http://human.owl#NCI_C52750,"[""Foot_Skin""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""hand""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000037,=,1.0,http://human.owl#NCI_C32712,"[""Hand""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""cheek""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002475,=,1.0,http://human.owl#NCI_C13070,"[""Cheek""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""psoas minor""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002359,=,1.0,http://human.owl#NCI_C33421,"[""Psoas_Minor""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""thorax""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000022,=,1.0,http://human.owl#NCI_C12799,"[""Thorax""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""medial plantar artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001997,=,1.0,http://human.owl#NCI_C52968,"[""Medial_Plantar_Artery""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""occipital artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002009,=,1.0,http://human.owl#NCI_C33194,"[""Occipital_Artery""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""mandible""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001487,=,1.0,http://human.owl#NCI_C12290,"[""Mandible""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""trapezium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001340,=,1.0,http://human.owl#NCI_C12857,"[""Trapezial_Bone""]",[],"[""owl:Class""]",true,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""arteriole""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000063,=,1.0,http://human.owl#NCI_C12672,"[""Arteriole""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""hand digit 4""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000457,=,1.0,http://human.owl#NCI_C52837,"[""Hand_Digit_4""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""vomer bone""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001496,=,0.0,http://human.owl#NCI_C33888,"[""Vomer""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""arytenoid cartilage""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001759,=,1.0,http://human.owl#NCI_C32148,"[""Arytenoid_Cartilage""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""terminal bronchiole epithelium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001774,=,1.0,http://human.owl#NCI_C33755,"[""Terminal_Bronchiole_Epithelium""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""eyelid""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000268,=,1.0,http://human.owl#NCI_C12713,"[""Eyelid""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""epidermis stratum granulosum""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000805,=,0.0,http://human.owl#NCI_C33627,"[""Stratum_Granulosum""]",[],"[""owl:Class""]",true,false negative
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""anterior commissure""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002722,=,1.0,http://human.owl#NCI_C32086,"[""Anterior_Commissure""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""common carotid artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001926,=,1.0,http://human.owl#NCI_C32352,"[""Common_Carotid_Artery""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""stomach""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000353,=,1.0,http://human.owl#NCI_C12391,"[""Stomach""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""pancreatic acinus""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002417,=,1.0,http://human.owl#NCI_C49268,"[""Pancreatic_Acinus""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""peripheral nervous system""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000218,=,1.0,http://human.owl#NCI_C12465,"[""Peripheral_Nervous_System""]",[],"[""owl:Class""]",false,true positive
LocalTrack,Local TC,D:/CITYUNI_CPP/term_2/individul_project/final_DEV/melt_kgas/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""anal canal""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000330,=,1.0,http://human.owl#NCI_C12375,"[""Anal_Canal""]",[],"[""owl:Class""]",false,true positive
